1 1 1 1 2 5 4 4 4 7 7 9 9 9 0 0 0 0 0 0
3 3 1 2 2 5 5 5 4 6 7 9 8 9 0 B B B A A
H 3 1 1 2 5 L L 6 6 7 9 8 8 0 A A B A A
H 3 3 I I 5 L 6 6 6 7 7 8 0 0 A A A A C
H 3 H H I 5 L L L M M 7 8 8 0 A 0 C C C
H H H I I 5 5 L L K M M M 0 0 0 0 D D E
H J I I J 5 5 K K K M G G F N N D D D E
V J J J J J 5 K K K G G F F N N D E E E
V U U U U J 5 5 T G G G F N N N N E E E
V V W U U U T T T h G Q F N N O O O O P
V W W W W W X T S h R Q Q Q q q q q q P
Z W W Y Y Y X S S h R R Q q q r q q P P
Z W W Z Y X X h S h R p p p r r q o o P
Z Z Z Z Z X X h h h R p p r r q q o o P
Z a a a a a f f f h R p s s s q s s o o
Z a c c b a f f f h R p s k s s s o o m
Z c c c b a f g g h h j s k n n n n o m
Z c c b b f f f g h i j j k k n n o o m
c c d d d f e g g h i j j j k n o o o m
c d d e e e e g h h i i j j k l l l l m
